Board, Players, Dice, Average Build Time, Average Game Time, Average Game Turns
50, 10, 6, 27, 4, 1043
50, 12, 6, 20, 2, 1072
50, 14, 6, 21, 1, 1053
50, 16, 6, 23, 2, 1044
50, 18, 6, 25, 2, 1026
50, 20, 6, 27, 3, 1002
50, 22, 6, 29, 3, 1035
50, 24, 6, 31, 4, 1010
50, 26, 6, 34, 5, 1042
50, 28, 6, 36, 6, 992
50, 30, 6, 38, 6, 1036
50, 32, 6, 40, 5, 1016
50, 34, 6, 42, 6, 1009
50, 36, 6, 44, 6, 1015
50, 38, 6, 46, 7, 1046
50, 40, 6, 48, 7, 1025
50, 42, 6, 50, 7, 1001
50, 44, 6, 55, 8, 1046
50, 46, 6, 55, 9, 1030
50, 48, 6, 57, 8, 995
50, 50, 6, 59, 9, 1024
50, 52, 6, 61, 10, 1025
50, 54, 6, 64, 12, 1046
50, 56, 6, 65, 9, 1026
50, 58, 6, 68, 13, 1043
50, 60, 6, 70, 12, 1022
50, 62, 6, 72, 11, 1030
50, 64, 6, 74, 12, 1023
50, 66, 6, 76, 15, 1003
50, 68, 6, 79, 12, 1055
50, 70, 6, 80, 12, 1030
50, 72, 6, 83, 14, 1001
50, 74, 6, 85, 14, 1058
50, 76, 6, 87, 15, 1040
50, 78, 6, 89, 16, 1002
50, 80, 6, 91, 14, 1027
50, 82, 6, 94, 18, 1033
50, 84, 6, 95, 12, 1038
50, 86, 6, 96, 16, 1020
50, 88, 6, 99, 17, 1010
50, 90, 6, 102, 19, 1006
50, 92, 6, 106, 19, 1028
50, 94, 6, 107, 20, 1054
50, 96, 6, 109, 20, 1042
50, 98, 6, 111, 21, 1025
50, 100, 6, 113, 19, 1005
50, 125, 6, 139, 29, 1056
50, 150, 6, 167, 34, 1033
50, 175, 6, 195, 38, 1006
50, 200, 6, 220, 50, 1039
50, 225, 6, 249, 51, 995
50, 250, 6, 275, 56, 1038
50, 275, 6, 302, 69, 998
50, 300, 6, 328, 69, 1039
50, 325, 6, 355, 71, 991
50, 350, 6, 384, 94, 1052
50, 375, 6, 410, 93, 1047
50, 400, 6, 436, 103, 1064
50, 425, 6, 464, 107, 1031
50, 450, 6, 489, 118, 1043
50, 475, 6, 517, 113, 1001
50, 500, 6, 543, 137, 1035
50, 525, 6, 571, 148, 1018
50, 550, 6, 598, 152, 1008
50, 575, 6, 625, 141, 1033
50, 600, 6, 653, 152, 1020
50, 625, 6, 679, 180, 1005
50, 650, 6, 703, 206, 1010
50, 675, 6, 733, 195, 999
50, 700, 6, 760, 184, 1002
50, 725, 6, 786, 192, 1018
50, 750, 6, 831, 234, 1019
50, 775, 6, 841, 385, 1015
50, 800, 6, 869, 233, 984
50, 825, 6, 894, 308, 1015
50, 850, 6, 921, 312, 1027
50, 875, 6, 947, 235, 976
50, 900, 6, 975, 312, 987
50, 925, 6, 1003, 309, 1010
50, 950, 6, 1028, 313, 989
50, 975, 6, 1056, 363, 1010
50, 1000, 6, 1084, 319, 1006
50, 1250, 6, 1352, 468, 1029
50, 1500, 6, 1627, 943, 1005
50, 1750, 6, 1896, 961, 1025
50, 2000, 6, 2163, 1874, 1006
50, 2250, 6, 2429, 1843, 977
50, 2500, 6, 2700, 2757, 980
50, 2750, 6, 2978, 3449, 1012
50, 3000, 6, 3243, 4127, 967
50, 3250, 6, 3514, 4443, 996
50, 3500, 6, 3786, 5386, 1032
50, 3750, 6, 4058, 7167, 1045
50, 4000, 6, 4331, 10914, 994
50, 4250, 6, 4607, 8453, 1023
50, 4500, 6, 4867, 18654, 997
50, 4750, 6, 5134, 20520, 1027
50, 5000, 6, 5408, 10953, 997
50, 5250, 6, 5659, 29283, 997
50, 5500, 6, 5934, 14995, 975
50, 5750, 6, 6201, 16944, 1025
