mapLength,numberOfPlayers,diceMax,timeToBuildGame,timeToFinishGame,numberOfTurnsByPlayer,numberOfTurns,player1id,player1Pos,player1Coins,,,,,,,,,,,,,
10,5,6,29,1,31,153,0,55,11,1,88,28,2,100,15,3,42,0,4,88,22, 
10,5,6,9,1,42,210,0,94,6,1,86,17,2,84,12,3,63,10,4,100,6, 
10,5,6,10,0,22,109,0,77,15,1,74,31,2,57,5,3,100,23,4,66,15, 
10,5,6,9,1,50,250,0,61,41,1,30,25,2,52,36,3,63,27,4,100,53, 
10,5,6,8,0,28,138,0,62,2,1,62,11,2,100,0,3,32,11,4,33,11, 
10,5,6,8,0,49,245,0,84,20,1,99,26,2,33,17,3,72,8,4,100,21, 
10,5,6,10,0,25,122,0,89,9,1,100,13,2,88,6,3,87,6,4,60,5, 
10,5,6,8,0,33,161,0,100,26,1,38,12,2,99,20,3,63,14,4,63,14, 
10,5,6,8,0,28,138,0,68,31,1,72,17,2,100,39,3,87,5,4,84,23, 
10,5,6,10,0,30,149,0,39,13,1,73,5,2,45,23,3,100,15,4,15,5, 
10,5,6,9,0,52,260,0,99,59,1,99,59,2,74,18,3,76,5,4,100,28, 
10,5,6,11,0,30,150,0,60,0,1,31,3,2,81,16,3,22,10,4,100,15, 
10,5,6,9,0,35,171,0,100,24,1,34,1,2,38,4,3,6,0,4,53,10, 
10,5,6,9,0,38,189,0,79,44,1,46,16,2,86,31,3,100,22,4,79,32, 
10,5,6,9,0,46,229,0,66,30,1,95,23,2,99,40,3,100,52,4,95,26, 
10,5,6,9,0,26,130,0,85,17,1,39,0,2,39,6,3,99,11,4,100,30, 
10,5,6,10,0,38,187,0,61,10,1,100,26,2,94,37,3,83,11,4,80,17, 
10,5,6,10,0,38,190,0,52,12,1,35,4,2,90,10,3,41,10,4,100,30, 
10,5,6,10,0,26,127,0,29,6,1,100,20,2,73,20,3,73,35,4,48,31, 
10,5,6,10,0,29,145,0,30,15,1,55,5,2,40,14,3,64,32,4,100,2, 
10,5,6,10,0,61,302,0,98,29,1,100,63,2,69,18,3,84,24,4,77,15, 
10,5,6,9,0,45,224,0,93,21,1,89,29,2,71,2,3,100,20,4,74,30, 
10,5,6,10,0,31,153,0,57,10,1,68,16,2,100,16,3,68,13,4,66,17, 
10,5,6,9,0,33,163,0,52,10,1,79,27,2,100,40,3,75,15,4,29,15, 
10,5,6,10,0,36,176,0,100,26,1,37,15,2,68,25,3,66,22,4,94,24, 
10,5,6,9,0,32,156,0,100,26,1,59,13,2,43,5,3,88,9,4,43,0, 
10,5,6,9,0,27,135,0,45,13,1,70,2,2,99,35,3,64,14,4,100,24, 
10,5,6,10,0,53,263,0,91,12,1,68,19,2,100,30,3,79,12,4,46,14, 
10,5,6,10,0,41,204,0,98,34,1,85,17,2,63,31,3,100,11,4,63,10, 
10,5,6,9,0,42,208,0,99,12,1,65,5,2,100,25,3,82,0,4,71,12, 
10,5,6,9,0,27,135,0,86,21,1,99,11,2,46,0,3,80,18,4,100,35, 
10,5,6,9,0,43,211,0,100,22,1,93,16,2,55,16,3,49,5,4,50,5, 
10,5,6,9,0,24,116,0,100,24,1,53,23,2,67,26,3,31,26,4,74,20, 
10,5,6,9,0,55,272,0,97,29,1,100,71,2,73,21,3,91,7,4,50,22, 
10,5,6,9,0,32,160,0,46,9,1,62,12,2,65,11,3,64,27,4,100,30, 
10,5,6,9,0,25,125,0,64,19,1,84,8,2,43,0,3,70,5,4,100,22, 
10,5,6,9,0,39,194,0,65,6,1,33,5,2,73,14,3,100,16,4,59,5, 
10,5,6,9,0,46,226,0,100,40,1,27,0,2,78,19,3,54,7,4,93,25, 
10,5,6,8,1,30,147,0,29,6,1,100,15,2,35,0,3,10,0,4,66,36, 
10,5,6,9,0,37,184,0,31,1,1,31,16,2,31,15,3,100,26,4,94,23, 
10,5,6,8,0,23,112,0,75,9,1,100,3,2,52,23,3,58,25,4,74,6, 
10,5,6,9,1,44,217,0,94,24,1,100,11,2,85,18,3,41,18,4,67,15, 
10,5,6,10,0,29,144,0,97,13,1,63,5,2,88,10,3,100,1,4,85,13, 
10,5,6,10,0,41,205,0,69,27,1,96,39,2,92,25,3,74,14,4,100,21, 
10,5,6,9,1,32,157,0,74,30,1,100,8,2,33,14,3,35,8,4,43,10, 
10,5,6,11,0,45,221,0,100,46,1,64,9,2,32,0,3,96,17,4,62,0, 
10,5,6,8,0,26,127,0,90,9,1,100,31,2,81,11,3,44,8,4,61,20, 
10,5,6,8,0,33,162,0,98,5,1,100,16,2,92,33,3,68,17,4,77,13, 
10,5,6,9,0,45,223,0,82,58,1,86,18,2,100,41,3,93,13,4,86,13, 
10,5,6,9,0,29,143,0,93,19,1,99,10,2,100,15,3,63,26,4,98,22, 
10,5,6,9,0,38,186,0,100,53,1,63,27,2,58,23,3,88,19,4,60,12, 
10,5,6,9,0,32,156,0,100,5,1,84,15,2,45,17,3,92,5,4,84,16, 
10,5,6,9,0,25,125,0,48,6,1,69,4,2,42,3,3,96,17,4,100,17, 
10,5,6,8,1,42,207,0,54,5,1,100,5,2,75,11,3,25,7,4,71,14, 
10,5,6,10,0,23,111,0,100,24,1,79,10,2,70,17,3,77,21,4,45,11, 
10,5,6,10,0,39,191,0,100,37,1,26,0,2,82,61,3,26,0,4,67,25, 
10,5,6,13,0,41,204,0,88,21,1,69,15,2,81,16,3,100,46,4,81,24, 
10,5,6,10,0,49,243,0,79,18,1,88,26,2,100,34,3,71,29,4,99,40, 
10,5,6,9,0,51,252,0,88,35,1,100,20,2,88,13,3,86,28,4,38,5, 
10,5,6,9,0,36,179,0,41,10,1,34,11,2,99,21,3,100,15,4,99,9, 
10,5,6,8,0,25,124,0,58,10,1,98,38,2,58,8,3,100,21,4,34,9, 
10,5,6,9,0,32,159,0,99,10,1,53,28,2,75,16,3,100,31,4,85,30, 
10,5,6,9,0,39,191,0,100,15,1,83,22,2,74,17,3,90,32,4,67,13, 
10,5,6,7,1,56,276,0,100,23,1,98,27,2,84,11,3,91,20,4,83,11, 
10,5,6,9,0,28,139,0,59,14,1,81,5,2,98,6,3,100,13,4,61,18, 
