,,,,,Turns,,,,,,,,,,,,,,,,
10,5,10,43,1,39,0,97,23,1,46,15,2,61,18,3,100,95,4,61,0, 
10,5,10,8,0,26,0,100,10,1,23,5,2,31,0,3,53,15,4,27,3, 
10,5,10,7,1,41,0,66,5,1,38,5,2,89,21,3,99,76,4,100,32, 
10,5,10,8,0,31,0,86,5,1,16,0,2,100,15,3,87,21,4,99,92, 
10,5,10,10,0,16,0,100,15,1,16,0,2,89,20,3,16,0,4,16,0, 
10,5,10,9,0,13,0,42,10,1,100,19,2,46,5,3,59,5,4,59,4, 
10,5,10,8,0,35,0,100,33,1,61,16,2,84,28,3,98,20,4,77,16, 
10,5,10,9,0,14,0,53,13,1,41,0,2,60,18,3,100,10,4,32,11, 
10,5,10,8,0,38,0,99,16,1,64,10,2,14,0,3,98,12,4,100,13, 
10,5,10,7,0,26,0,45,0,1,77,10,2,43,0,3,72,0,4,100,55, 
10,5,10,7,0,14,0,39,5,1,61,14,2,32,8,3,53,0,4,100,9, 
10,5,10,9,0,18,0,19,0,1,7,0,2,67,16,3,100,12,4,28,5, 
10,5,10,10,0,17,0,34,7,1,100,32,2,38,0,3,34,2,4,66,17, 
10,5,10,10,0,37,0,46,9,1,63,12,2,96,25,3,40,2,4,100,8, 
10,5,10,10,0,23,0,100,16,1,48,7,2,32,10,3,37,10,4,59,15, 
10,5,10,10,0,22,0,97,22,1,80,10,2,57,15,3,100,28,4,96,31, 
10,5,10,10,1,26,0,65,5,1,22,0,2,52,14,3,74,19,4,100,10, 
10,5,10,9,0,40,0,41,5,1,63,13,2,50,19,3,100,33,4,78,15, 
10,5,10,9,0,17,0,37,12,1,100,16,2,86,14,3,25,12,4,42,10, 
10,5,10,10,0,19,0,18,0,1,63,10,2,12,5,3,66,15,4,100,28, 
10,5,10,9,0,31,0,54,11,1,100,20,2,44,15,3,99,10,4,54,10, 
10,5,10,10,1,21,0,88,21,1,4,0,2,97,32,3,100,33,4,89,15, 
10,5,10,9,0,19,0,27,18,1,100,5,2,54,0,3,98,5,4,65,22, 
10,5,10,9,0,28,0,100,27,1,99,51,2,59,0,3,99,33,4,99,14, 
