,,,,,Turn,,,,,,,,,,,,,,,,
10,5,20,29,0,28,0,98,18,1,100,0,2,98,5,3,52,0,4,97,20, 
10,5,20,7,1,32,0,96,90,1,99,5,2,20,0,3,100,26,4,20,0, 
10,5,20,8,0,7,0,54,10,1,100,30,2,13,0,3,24,0,4,58,12, 
10,5,20,7,0,10,0,99,36,1,24,4,2,94,17,3,100,15,4,41,0, 
10,5,20,8,1,17,0,41,30,1,99,55,2,23,48,3,99,31,4,100,10, 
10,5,20,10,0,11,0,52,8,1,100,10,2,98,0,3,15,0,4,92,13, 
10,5,20,9,0,28,0,100,74,1,96,27,2,48,28,3,96,5,4,99,46, 
10,5,20,9,0,18,0,16,0,1,100,10,2,99,55,3,39,0,4,31,0, 
10,5,20,9,1,11,0,31,11,1,92,10,2,99,8,3,100,64,4,78,19, 
10,5,20,9,0,13,0,95,56,1,100,0,2,37,12,3,92,31,4,99,19, 
10,5,20,9,0,31,0,100,60,1,97,52,2,67,5,3,89,0,4,99,5, 
10,5,20,9,0,13,0,100,31,1,57,25,2,73,19,3,97,29,4,51,0, 
10,5,20,9,0,8,0,23,16,1,5,10,2,47,10,3,89,0,4,100,18, 
10,5,20,10,0,11,0,16,10,1,37,0,2,100,0,3,19,0,4,80,29, 
10,5,20,9,0,11,0,57,5,1,95,10,2,100,5,3,95,28,4,24,0, 
10,5,20,9,0,8,0,25,0,1,6,0,2,36,31,3,59,0,4,100,5, 
10,5,20,9,0,25,0,95,22,1,97,49,2,100,26,3,56,5,4,56,2, 
10,5,20,9,0,8,0,57,5,1,100,16,2,39,5,3,19,0,4,32,5, 
10,5,20,10,0,16,0,5,0,1,100,119,2,53,5,3,30,2,4,24,4, 
10,5,20,10,0,49,0,99,5,1,41,9,2,36,0,3,100,10,4,98,15, 
10,5,20,9,0,31,0,98,75,1,85,15,2,58,14,3,99,15,4,100,16, 
10,5,20,9,0,20,0,100,21,1,98,17,2,18,0,3,29,0,4,59,0, 
