,,,,,Turns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,5,4,39,2,42,0,77,15,1,100,41,2,95,5,3,63,25,4,97,11, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,7,1,35,0,54,12,1,82,32,2,100,12,3,59,18,4,59,11, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,50,0,72,12,1,75,25,2,48,15,3,100,9,4,91,7, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,7,0,49,0,37,40,1,70,15,2,88,11,3,82,37,4,100,30, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,7,0,45,0,100,30,1,83,17,2,74,11,3,72,25,4,57,8, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,1,42,0,100,46,1,48,28,2,67,22,3,97,38,4,61,5, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,48,0,100,36,1,94,23,2,55,33,3,77,27,4,59,30, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,48,0,100,31,1,86,46,2,49,42,3,96,45,4,85,28, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,9,0,50,0,51,10,1,98,17,2,100,19,3,56,17,4,70,31, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,9,0,32,0,100,37,1,85,35,2,71,49,3,64,30,4,49,32, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,1,50,0,51,16,1,100,9,2,59,21,3,32,11,4,74,30, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,47,0,70,20,1,100,30,2,66,25,3,70,18,4,79,14, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,7,1,58,0,53,23,1,100,14,2,50,18,3,83,17,4,64,10, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,7,0,50,0,56,35,1,44,28,2,100,12,3,76,33,4,63,51, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,55,0,100,35,1,76,17,2,99,11,3,86,10,4,99,5, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,7,0,51,0,86,13,1,100,34,2,86,9,3,41,7,4,34,3, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,9,0,44,0,59,5,1,100,19,2,47,16,3,67,25,4,67,20, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,9,1,46,0,52,13,1,99,14,2,62,21,3,77,18,4,100,38, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,9,0,34,0,77,15,1,54,9,2,56,11,3,59,15,4,100,13, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,9,0,42,0,83,24,1,74,38,2,68,41,3,100,25,4,89,15, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,9,0,36,0,54,1,1,100,20,2,92,10,3,57,40,4,71,22, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,9,0,59,0,100,49,1,89,34,2,98,23,3,80,34,4,71,25, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,9,0,34,0,70,14,1,100,18,2,74,9,3,46,17,4,49,23, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,42,0,48,16,1,77,43,2,57,37,3,100,46,4,58,19, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,7,0,47,0,96,14,1,100,35,2,98,26,3,74,21,4,70,19, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,34,0,100,20,1,59,18,2,51,6,3,52,10,4,27,19, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,6,0,40,0,100,23,1,81,17,2,65,4,3,82,31,4,37,33, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,40,0,60,17,1,57,15,2,55,14,3,100,33,4,49,25, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,39,0,47,0,1,100,15,2,81,16,3,89,17,4,55,6, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,29,0,27,10,1,33,10,2,36,10,3,100,25,4,45,10, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,50,0,76,16,1,91,26,2,58,8,3,100,25,4,88,25, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,9,0,36,0,72,29,1,60,36,2,60,17,3,100,20,4,77,30, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,1,37,0,78,20,1,88,7,2,82,7,3,100,11,4,73,12, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,43,0,73,32,1,88,19,2,59,38,3,38,13,4,100,33, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,44,0,63,38,1,97,34,2,92,12,3,100,36,4,63,41, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,41,0,92,20,1,84,32,2,68,34,3,100,46,4,53,13, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,43,0,82,16,1,56,13,2,97,21,3,93,3,4,100,23, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,39,0,100,20,1,68,25,2,62,10,3,71,31,4,72,17, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,9,0,25,0,32,8,1,58,21,2,60,10,3,100,14,4,46,9, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,9,0,43,0,100,26,1,66,36,2,68,18,3,73,25,4,79,16, ,,,,,,,,,,,,,,,,,,,,,
